品類,品類英文,子分類,子分類名,模板ID,模板名稱,英文名稱,比例,風格注入等級,提示詞
包包,bags,common,通用場景,bag_01_white_bg,白底主圖,White Background,1:01,none,"Professional e-commerce product photography of a bag on pure white background (RGB 255,255,255). Camera: Sony A7R V with 90mm macro lens at f/8, ISO 100, 1/160s. Lighting: Large octagonal softbox (48-inch) overhead at 45° (main light at 60% power), two strip boxes on sides at 30° for fill (ratio 2:1), white bounce cards below for shadow fill. Color temperature precisely 5500K ± 200K. Composition: Product centered, occupying 75-85% of frame. Slight 15° tilt to show depth. Product details: Natural soft shadow beneath (feathered, not harsh), ultra-sharp focus on front surface, stitching details visible at 100% zoom. Material texture clearly rendered: leather grain visible, canvas weave pattern distinct, nylon sheen accurate. No color cast, true product colors. NEGATIVE: No props, no text, no watermark, no reflections on white surface, no harsh shadows, no color tint, no blur, no background gradient, no visible dust or fingerprints."
包包,bags,common,通用場景,bag_02_selling_points,賣點標註圖,Feature Highlights,1:01,none,"Four-panel professional product specification grid for a bag, clean 2x2 layout on pure white background (RGB 255,255,255). Panel 1 (Top-Left): Front view at 10° angle showing overall silhouette and brand logo placement. Panel 2 (Top-Right): Macro detail of material texture and stitching quality (8-10 stitches per inch visible). Panel 3 (Bottom-Left): Hardware detail - zipper pull, buckle, metal clasp with visible metallic reflections. Panel 4 (Bottom-Right): Strap and carrying mechanism from side angle, showing attachment points. Camera: Sony A7 IV with 90mm lens at f/5.6, ISO 100, 1/200s for all panels. Lighting: Consistent 5500K studio strobes across all panels, large octagonal softbox main light at 45°, two fill cards for even illumination. Each panel has 20px white space border. NEGATIVE: No text overlays, no arrows, no inconsistent lighting between panels, no color variation between panels."
包包,bags,common,通用場景,bag_03_detail_closeup,細節特寫,Detail Close-up,1:01,light,"Extreme macro detail photography of bag craftsmanship, focus stacking technique for maximum sharpness. Camera: Canon EOS R5 with RF 100mm f/2.8L Macro at f/4, ISO 200, 1/200s, 15-frame focus stack. Zone A: Material texture - leather grain at 1:1 magnification showing pore structure, OR canvas weave pattern with thread count visible, OR nylon ripstop texture with grid pattern. Zone B: Precision stitching - even thread tension, consistent stitch length (8-10 SPI visible), thread color matching. Zone C: Metal hardware - zipper teeth interlocking, pull tab engraving, buckle mechanism surface reflections. Lighting: Ring light (18-inch, 4800K) for even illumination + single directional side light at 45° to reveal texture via micro-shadows. Neutral gray 18% card background. NEGATIVE: No dust particles, no fingerprints on hardware, no loose threads, no uneven lighting, no color cast."
包包,bags,common,通用場景,bag_04_size_reference,尺寸參考圖,Size Reference,1:01,none,"Bag photographed for precise size reference with standardized objects on pure white surface with millimeter grid pattern overlay. Reference objects arranged symmetrically: 15-inch laptop (MacBook Pro or equivalent) standing vertically on left, iPhone 15 Pro (6.1-inch) placed horizontally on right, Standard A4 sheet behind for additional scale. Camera: Sony A7 IV with 50mm lens at f/11, ISO 100, 1/125s, tripod at 90° overhead. Lighting: Large rectangular softbox directly overhead + two side fill lights, 5500K even illumination. Composition: All items proportionally accurate, bag centered as hero element. Grid lines visible at 1cm intervals for precise measurement reference. NEGATIVE: No perspective distortion, no inconsistent scaling, no shadows obscuring reference objects."
包包,bags,common,通用場景,bag_05_daily_scene,日常場景,Daily Life Scene,4:03,full,"Lifestyle product photography of bag in modern premium cafe setting. Scene setup: Light oak wooden table (natural finish), MacBook Pro partially visible in background, ceramic coffee cup (8oz, white ceramic) with latte art nearby, small succulent in 3-inch white pot as accent. Camera: Sony A7 IV with 35mm f/1.4 at f/2.8, ISO 400, 1/125s. Lighting: Natural window light from left side (5600K, soft diffused through sheer white curtain). Gentle shadows on right side, fill reflector card on right at 20% intensity. Composition: Bag placed naturally on table, slightly angled toward camera (30° from front), as if just set down. Shallow depth of field: bag in sharp focus, background softly blurred (circular bokeh visible). Color palette: Warm neutrals (#F5F5DC cream, #D2B48C tan, #8B7355 brown), green plant accent (#6B8E6B). Mood: Productive morning, aspirational yet relatable lifestyle. NEGATIVE: No harsh artificial lighting, no cluttered background, no competing colors, no plastic-looking props."
包包,bags,common,通用場景,bag_06_outdoor_scene,戶外場景,Outdoor Scene,4:03,full,"Outdoor lifestyle product photography of bag in urban park setting. Location: Clean wooden park bench or natural stone ledge, city street or manicured park visible in soft-focus background. Time: Golden hour (sunset, ~6:30 PM, 45 minutes before sunset). Camera: Sony A7 IV with 85mm f/1.4 at f/2.0, ISO 200, 1/250s. Lighting: Golden hour natural light from left at 30° angle, creating warm tones (3200K) and gentle shadows. Natural rim light on bag edges. Composition: Bag is hero subject, sharply focused against dreamy bokeh background (f/2.0). Travel and adventure lifestyle mood. Atmosphere: Warm tones, aspirational outdoor lifestyle, wanderlust aesthetic. NEGATIVE: No harsh midday shadows, no overexposed highlights, no distracting background elements."
包包,bags,common,通用場景,bag_07_model_carry,模特展示,Model Showcase,3:04,full,"Fashion editorial photography: model wearing/carrying bag as hero accessory. Camera: Hasselblad X2D with 80mm f/1.9 at f/4, ISO 100, 1/250s. Studio setup: Large octabox (60-inch) as key light camera left at 45°, 60% power, White fill card camera right at 20% reflectivity, Hair light from behind for separation, Gray seamless backdrop (#808080). Model styling: Simple solid-color clothing (black #000000, white #FFFFFF, or beige #F5F5DC) that doesn't compete with bag. Minimal accessories. Pose: Natural confident stance, 3/4 view to camera, bag clearly visible at chest/hip level. Hand position shows natural carrying gesture. Focus: Critical sharpness on bag surface and hardware, slight softness on model's face acceptable. Color grading: Neutral with slight warmth (+10 yellow), maintaining bag's true colors. NEGATIVE: No busy patterns on clothing, no distracting jewelry, no harsh shadows on bag."
包包,bags,common,通用場景,bag_08_capacity_show,容量展示,Capacity Showcase,1:01,light,"Top-down flat lay of bag showing organized interior capacity. Contents arranged: Smartphone (iPhone), leather wallet, keychain with 3 keys, sunglasses in case, reusable water bottle (500ml), Moleskine notebook (pocket size), wireless earphones, cosmetic pouch. Arrangement: Items color-coded and evenly spaced with intentional white space. Each item partially overlapping bag edges to show depth. Camera: Sony A7 IV with 35mm lens at f/8, ISO 100, 1/160s, tripod at 90° overhead. Lighting: Large rectangular softbox directly overhead (5500K), two side fill lights at 45° for even illumination with no harsh shadows. Background: Pure white surface (RGB 255,255,255). NEGATIVE: No messy arrangement, no items outside bag frame, no inconsistent spacing."
包包,bags,common,通用場景,bag_09_lifestyle,品牌氛圍圖,Brand Lifestyle,1:01,full,"Elegant flat lay brand lifestyle arrangement with bag as hero product. Accessories: Designer sunglasses (black frame), luxury watch (minimalist dial), leather passport holder, fresh peonies (pink #FFB6C1) in small ceramic vase. Surface: Carrara marble or clean cream-colored linen (#FFFDD0). Camera: Hasselblad X2D with 80mm at f/5.6, ISO 100, 1/200s, tripod at 90° overhead. Lighting: Soft directional light from upper left at 45°, subtle shadows creating depth. Fill reflector on right at 30%. Color palette: Cohesive warm tones - cream (#FFFDD0), soft pink (#FFB6C1), gold accents (#FFD700), black (#000000). Composition: Rule of thirds, bag at left intersection point. Each object placed with intentional spacing (2-3 inches between items). Mood: Premium quality, aspirational lifestyle, luxury travel aesthetic. NEGATIVE: No clutter, no competing colors, no harsh shadows."
飾品,jewelry,common,通用場景,jewelry_01_white_bg,白底主圖,White Background,1:01,none,"Professional high-jewelry photography on pure white background (RGB 255,255,255). Camera: Phase One XF with 120mm macro lens at f/16, ISO 50, 1/125s. Lighting: Dual large softboxes at 45° angles + overhead diffusion panel. Fiber optic spot lights for controlled sparkle on gemstones. Color temperature 5500K. Special technique: Focus stacking (20+ frames) for complete sharpness from front to back. LED light panel for controlled reflections. Product: Jewelry centered, 80% of frame. Maximum sparkle and fire visible in gemstones. Metal surfaces showing polish quality. NEGATIVE: No dust particles, no fingerprints, no unwanted reflections, no color cast."
