品類,品類英文,子分類,子分類名,模板ID,模板名稱,英文名稱,比例,風格注入等級,提示詞
包包,bags,common,通用場景,bag_01_white_bg,白底主圖,White Background,1:01,none,"Place this bag product on a pure white background (RGB 255,255,255). Professional e-commerce product photography with soft box lighting from above at 45 degrees and two side fill lights. The bag should be centered, occupying about 85% of the frame. Slight natural shadow beneath the bag for depth. Front-facing angle slightly tilted 15 degrees to show depth and dimension. Ultra-high resolution, crisp details on stitching, hardware and material texture. No other objects in frame. Color accuracy is critical."
包包,bags,common,通用場景,bag_02_selling_points,賣點標註圖,Feature Highlights,1:01,none,"Create a professional product photography collage for this bag. Show 4 different views arranged in a clean 2x2 grid layout on a white background: 1) Front view showing the main design and brand details. 2) Close-up of the premium material texture and stitching quality. 3) Hardware and zipper detail shot with metallic shine visible. 4) Strap and carrying mechanism from the side angle. Each view is clearly separated with clean white space between them. Professional studio lighting, consistent color temperature (5500K) across all four shots. The overall layout is balanced and looks like a premium product specification page."
包包,bags,common,通用場景,bag_03_detail_closeup,細節特寫,Detail Close-up,1:01,light,"Extreme macro close-up photography of this bag showing fine craftsmanship details. Split into 2-3 detail zones: material texture and grain pattern, precise stitching lines, and metal hardware/zipper quality with reflections. Shot with 100mm macro lens at f/4, shallow depth of field, ring light illumination. The texture should be so detailed you can almost feel the material. Focus stacking for maximum sharpness across detail zones. Professional product detail photography for luxury e-commerce."
包包,bags,common,通用場景,bag_04_size_reference,尺寸參考圖,Size Reference,1:01,none,"This bag photographed from a straight-on front angle next to a standard 15-inch laptop and a standard smartphone for size comparison. All items are standing upright on a clean white surface. The bag is in the center as the hero element. The laptop is leaning against the bag on one side, the smartphone placed on the other side. A subtle grid pattern on the surface beneath for scale reference. Clean white background, even studio lighting from above. The items are proportionally realistic to each other. The composition clearly communicates the bag's practical everyday size."
包包,bags,common,通用場景,bag_05_daily_scene,日常場景,Daily Life Scene,4:03,full,"This bag placed naturally on a wooden table in a bright, modern cafe or co-working space. A laptop and coffee cup visible nearby. Warm natural window light streaming in from the left. The scene conveys a productive, stylish daily routine. Lifestyle photography with soft bokeh background, shot at f/2.8. The bag should be the clear focal point, taking up about 40% of the frame. Warm color tones around 5800K, inviting atmosphere. Camera angle slightly above at 30 degrees."
包包,bags,common,通用場景,bag_06_outdoor_scene,戶外場景,Outdoor Scene,4:03,full,"This bag in an outdoor urban setting: placed on a clean park bench or stone ledge with a beautiful city street or green park in the soft-focus background. Golden hour natural lighting creating warm tones and gentle shadows. Travel and adventure lifestyle mood. The bag is the hero subject, sharply focused against the dreamy bokeh background. Aspirational outdoor lifestyle photography. Shot at eye level, f/2.0 for beautiful background separation."
包包,bags,common,通用場景,bag_07_model_carry,模特展示,Model Showcase,3:04,full,"A stylish person carrying this bag in a natural, confident pose. Shot from waist up, the bag is clearly visible and is the focal point. Clean neutral background (light beige or soft gray studio backdrop). Fashion editorial lighting: key light at 45 degrees with soft fill and hair light. The model wears simple, solid-color clothing that doesn't compete with the bag. The image conveys style, quality, and everyday elegance. Sharp focus on the bag, slight softness on the model's face."
包包,bags,common,通用場景,bag_08_capacity_show,容量展示,Capacity Showcase,1:01,light,"This bag shown open from directly above with everyday essentials neatly organized inside: smartphone, wallet, keys, sunglasses, water bottle, notebook, earphones, cosmetic pouch. Top-down flat lay perspective on a clean white surface. The items should be colorful and clearly identifiable, arranged with intentional spacing. This demonstrates the bag's generous storage capacity and practical organization. Bright, even overhead lighting with no harsh shadows. Each item slightly overlapping the bag edges to show depth."
包包,bags,common,通用場景,bag_09_lifestyle,品牌氛圍圖,Brand Lifestyle,1:01,full,"This bag styled in an elegant flat lay arrangement with premium lifestyle accessories: designer sunglasses, a luxury watch, a leather passport holder, and fresh flowers. Shot on a clean cream or marble surface from directly above. Cohesive warm color palette, editorial fashion mood board aesthetic. Soft directional lighting from upper left creating subtle shadows. The composition conveys premium quality and aspirational lifestyle. Each object placed with precise intentional spacing following rule of thirds."
包包,bags,crossbody,斜背包,bag_cross_01_street,街拍斜背,Street Crossbody,3:04,full,"A stylish model walking confidently down a modern city sidewalk wearing this crossbody bag. The bag strap goes diagonally across the chest, bag resting on the hip. Shot from a three-quarter front angle at waist level to showcase the crossbody silhouette. Urban street background with soft bokeh from storefronts and trees. Natural daylight with gentle side lighting from the left. The model wears a casual yet fashionable outfit in neutral tones. Shot at f/2.8 with a 70mm lens, the bag is the sharpest element in the frame. Dynamic street style photography with a candid editorial feel."
